Category,Description,Nutrient Data Bank Number,Data.Alpha Carotene,Data.Carbohydrate,Data.Cholesterol,Data.Fiber,Data.Protein,Data.Water,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Vitamins.Vitamin B12,Result
Milk,"Milk, human",11000000,0,6.89,14,0,1.03,87.5,3,14,51,0.05,Yes
Milk,"Milk, NFS",11100000,0,4.87,8,0,3.34,89.04,12,103,157,0.56,No
Milk,"Milk, whole",11111000,0,4.67,12,0,3.28,88.1,12,101,150,0.54,Yes
Milk,"Milk, low sodium, whole",11111100,0,4.46,14,0,3.1,88.2,5,86,253,0.36,Yes
Milk,"Milk, calcium fortified, whole",11111150,0,4.67,12,0,3.28,88.1,12,101,150,0.54,Yes
Milk,"Milk, calcium fortified, low fat (1%)",11111160,0,5.19,5,0,3.38,89.7,12,103,159,0.61,Yes
Milk,"Milk, calcium fortified, fat free (skim)",11111170,0,4.85,2,0,3.4,90.8,11,101,166,0.38,No
Milk,"Milk, reduced fat (2%)",11112110,0,4.91,8,0,3.35,89.1,12,103,159,0.55,No
Milk,"Milk, acidophilus, low fat (1%)",11112120,0,5.19,5,0,3.38,89.7,12,103,159,0.61,No
Milk,"Milk, acidophilus, reduced fat (2%)",11112130,0,4.91,8,0,3.35,89.1,12,103,159,0.55,Yes
Milk,"Milk, low fat (1%)",11112210,0,5.19,5,0,3.38,89.7,12,103,159,0.61,No
Milk,"Milk, fat free (skim)",11113000,0,4.89,3,0,3.43,90.8,12,107,167,0.58,No
Milk,"Milk, lactose free, low fat (1%)",11114300,0,5.19,5,0,3.38,89.7,12,103,159,0.61,Yes
Milk,"Milk, lactose free, fat free (skim)",11114320,0,4.89,3,0,3.43,90.8,12,107,167,0.58,Yes
Milk,"Milk, lactose free, reduced fat (2%)",11114330,0,4.91,8,0,3.35,89.1,12,103,159,0.55,No
Milk,"Milk, lactose free, whole",11114350,0,4.67,12,0,3.28,88.1,12,101,150,0.54,No
Buttermilk,"Buttermilk, fat free (skim)",11115000,0,4.79,4,0,3.31,90.13,11,89,151,0.22,Yes
Buttermilk,"Buttermilk, low fat (1%)",11115100,0,4.79,4,0,3.31,90.13,11,89,151,0.22,Yes
Buttermilk,"Buttermilk, reduced fat (2%)",11115200,0,5.3,8,0,4.1,87.7,13,82,180,0.37,No
Buttermilk,"Buttermilk, whole",11115300,0,4.88,11,0,3.21,87.91,10,85,135,0.46,Yes
Kefir,"Kefir, NS as to fat content",11115400,0,7.48,5,0,3.59,87.26,12,100,159,0.3,Yes
Goat's milk,"Goat's milk, whole",11116000,0,4.45,11,0,3.56,87.03,14,111,204,0.07,Yes
Milk,"Milk, dry, reconstituted, NS as to fat content",11120000,0,4.6,2,0,3.2,91.34,11,86,159,0.36,Yes
Milk,"Milk, dry, reconstituted, whole",11121100,0,5.86,15,0,4.01,85.04,14,118,203,0.5,No
Milk,"Milk, dry, reconstituted, low fat (1%)",11121210,0,4.55,4,0,3.17,90.48,11,85,157,0.35,No
Milk,"Milk, dry, reconstituted, fat free (skim)",11121300,0,4.6,2,0,3.2,91.34,11,86,159,0.36,No
Milk,"Milk, evaporated, NS as to fat content",11210050,0,10.04,29,0,6.81,74.04,24,203,303,0.16,Yes
Milk,"Milk, evaporated, whole",11211050,0,10.04,29,0,6.81,74.04,24,203,303,0.16,No
Milk,"Milk, evaporated, reduced fat (2%)",11211400,0,11.15,8,0,7.42,78,27,192,326,0.24,No
Milk,"Milk, evaporated, fat free (skim)",11212050,0,11.35,4,0,7.55,79.4,27,195,332,0.24,Yes
Milk,"Milk, condensed, sweetened",11220000,0,54.4,34,0,7.91,27.16,26,253,371,0.44,Yes
Non-dairy milk,"Non-dairy milk, NFS",11300100,0,3.75,0,0.2,1.04,93.33,8,19,80,0.29,No
Soy milk,Soy milk,11320000,0,4.92,0,0.2,2.6,90.36,15,43,122,0.85,No
Soy milk,"Soy milk, light",11320100,0,3.51,0,0.3,2.38,92.69,15,87,117,1,Yes
Soy milk,"Soy milk, nonfat",11320200,0,4.14,0,0.2,2.47,92.67,10,87,105,0.23,No
Soy milk,"Soy milk, chocolate",11321000,0,9.95,0,0.4,2.26,85.61,15,51,143,0.7,Yes
Soy milk,"Soy milk, light, chocolate",11321100,0,8.24,0,0.7,2.1,88.38,15,87,144,1,Yes
Soy milk,"Soy milk, nonfat, chocolate",11321200,0,8.24,0,0.7,2.1,88.38,15,87,144,1,Yes
Almond milk,"Almond milk, sweetened",11350000,0,5.24,0,0.2,0.38,92.68,6,9,64,0,Yes
Almond milk,"Almond milk, sweetened, chocolate",11350010,0,8.34,0,0.3,0.43,89.52,7,11,67,0,No
Almond milk,"Almond milk, unsweetened",11350020,0,1.31,0,0.2,0.4,96.54,6,9,67,0,No
Almond milk,"Almond milk, unsweetened, chocolate",11350030,0,1.48,0,0.3,0.46,96.26,7,11,71,0,No
Rice milk,Rice milk,11360000,0,9.17,0,0.3,0.28,89.28,11,56,27,0.63,Yes
Coconut milk,Coconut milk,11370000,0,2.92,0,0,0.21,94.57,0,0,19,0.63,No
Yogurt,"Yogurt, NFS",11400000,0,7.04,6,0,5.25,85.06,17,144,234,0.56,No
Yogurt,"Yogurt, Greek, NS as to type of milk or flavor",11400010,0,3.94,10,0,9.95,83.56,11,137,141,0.52,Yes
Yogurt,"Yogurt, NS as to type of milk or flavor",11410000,0,7.04,6,0,5.25,85.06,17,144,234,0.56,Yes
Yogurt,"Yogurt, NS as to type of milk, plain",11411010,0,7.04,6,0,5.25,85.06,17,144,234,0.56,No
Yogurt,"Yogurt, whole milk, plain",11411100,0,4.66,13,0,3.47,87.89,12,95,155,0.37,No
Yogurt,"Yogurt, low fat milk, plain",11411200,0,7.04,6,0,5.25,85.06,17,144,234,0.56,Yes
Yogurt,"Yogurt, nonfat milk, plain",11411300,0,7.68,2,0,5.73,85.22,19,157,255,0.61,Yes
Yogurt,"Yogurt, Greek, NS as to type of milk, plain",11411390,0,3.94,10,0,9.95,83.56,11,137,141,0.52,No
Yogurt,"Yogurt, Greek, whole milk, plain",11411400,0,3.98,13,0,9,81.3,11,135,141,0.75,Yes
Yogurt,"Yogurt, Greek, low fat milk, plain",11411410,0,3.94,10,0,9.95,83.56,11,137,141,0.52,Yes
Yogurt,"Yogurt, Greek, nonfat milk, plain",11411420,0,3.64,5,0,10.3,85,11,136,141,0.7,Yes
Yogurt,"Yogurt, NS as to type of milk, fruit",11430000,0,14.46,5,0.1,4.66,78.51,15,129,215,0.49,Yes
Yogurt,"Yogurt, whole milk, fruit",11431000,0,12.36,11,0.1,3.1,81,11,86,146,0.33,No
Yogurt,"Yogurt, low fat milk, fruit",11432000,0,14.46,5,0.1,4.66,78.51,15,129,215,0.49,No
Yogurt,"Yogurt, nonfat milk, fruit",11433000,0,15.02,2,0.1,5.09,78.65,17,140,234,0.54,No
Yogurt,"Yogurt, Greek, NS as to type of milk, fruit",11433990,0,12.29,12,1,8.17,76.41,10,109,129,0.5,Yes
